url,มหาวิทยาลัย,ชื่อหลักสูตร,ค่าใช้จ่ายต่อภาค,ค่าใช้จ่ายตลอดหลักสูตร,ชื่อวิทยาเขต,ประเภทหลักสูตร,สาขาวิชา
https://course.mytcas.com/programs/10010121300501A,จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ),25500.0,204000.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10010121300599A,จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล(ภาษาไทย ปกติ),25500.0,204000.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10020105300501A,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต บางเขน,17300.0,138400.0,บางเขน,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10020220300501A,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต กำแพงแสน,19500.0,156000.0,กำแพงแสน,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10020328300502A,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์(ภาษาไทย ปกติ) วิทยาเขต ศรีราชา,29100.0,232800.0,ศรีราชา,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10020430300501A,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต เฉลิมพระเกียรติ จ.สกลนคร,15000.0,120000.0,เฉลิมพระเกียรติ,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10030104300501A,มหาวิทยาลัยขอนแก่น,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,20000.0,160000.0,ขอนแก่น,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10040106300501A,มหาวิทยาลัยเชียงใหม่,วศ.บ.วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,23000.0,184000.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10040106300502E,มหาวิทยาลัยเชียงใหม่,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย(นานาชาติ) วิทยาเขต วิทยาเขตหลัก,400000.0,3200000.0,หลัก,นานาชาติ,ระบบสารสนเทศและเครือข่าย
https://course.mytcas.com/programs/10050210300501A,มหาวิทยาลัยธรรมศาสตร์,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต ศูนย์รังสิต,18900.0,151200.0,ศูนย์รังสิต,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10050222300501E,มหาวิทยาลัยธรรมศาสตร์,วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT)(นานาชาติ) วิทยาเขต ศูนย์รังสิต,101200.0,809600.0,ศูนย์รังสิต,นานาชาติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10060112300501A,มหาวิทยาลัยมหิดล,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต ศาลายา,30000.0,240000.0,ศาลายา,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10090209300501A,มหาวิทยาลัยศรีนครินทรวิโรฒ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต องครักษ์,25000.0,200000.0,องครักษ์,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10100101300501A,มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,18000.0,144000.0,หาดใหญ่,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10100101300502A,มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์(ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,28000.0,224000.0,หาดใหญ่,ปกติ,ปัญญาประดิษฐ์
